word,translation
cat,maanzar
dog,kutra
donkey,gadhav
donkey,gadhav
Namaskar,Hi
Alavida,Bye
Namaskar,Hi
Tee,She
Kripya,Please
Kaay,What
Alvida,Bye
Aahe,Is
To,He
Amhi,Us
Dada,Elder brother
Aai,Mother
Bhau,Brother
Bahin,Sister
Aai vadil,Parents
Bhaachi,Niece
Chulat bhau bahin,Cousin
Aai vadil,Parents
Bahin,Sister
Bhaachi,Niece
Ajoba,Grandfather
Saasara,Brother in law
Aai vadil,Parents
Kuthumba,Family
Sasu,Mother in law
Chulat bhau bahin,Cousin
Baiko,Wife
Bhau,Brother
Pivala,Yellow
Kaala,Black
Laal,Red
Neela,Blue
Hirva,Green
Narangi,Orange
Gulabi,Pink
Paahat,dawn
Sakaal,morning
Sandhyakaal,evening
Saaptahik,weekly
maasika,monthly
kadhi,when
aaz,today
kadhi,when
aaz,today
udya,tomorrow
ushira,late
sakaal,morning
paahat,dawn
raatra,night
vhij,lightning
vaara,wind
hivala,winter
thand,cold
vhij,vhij
nauka,boat
vimaan,aeroplane
vahatuk,traffic
aasan,seat
naksha,map
sthaanak,station
vimantal,airport
bandargah,harbour
raasta,road
doodh,milk
meeth,salt
bhaat,rice
chapati,bread
kombdi,chicken
rassa,curry
bhaat,rice
goad,seet
taahan,thirst
daar,door
chhat,roof
kholi,room
balcony,balcony
phatak,door
farsh,floor
kulup,lock
sarva,all
thode,few
purese,enough
dar,every
tippat,triple
duppat,double
dar,every
anek,several
jaasta,more
purese,enough
jaasta,more
paratyek,each
tippat,triple
duppat,double
garam,hot
chhota,small
garam,hot
dukhi,sad
sundar,beautiful
